Project,Project ID,Area,Project Page,Image Authorization,Image Use Note,Floorplan Records,Published Floorplan Files,Floorplan Public Folder,Floorplan Sample Link,Compliance Status,Lead Intake Form,Generated
10 CityPlace,10-cityplace,Downtown,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/10-cityplace/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.085Z
15 CityPlace,15-cityplace,Downtown,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/15-cityplace/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.085Z
Alba Palm Beach,alba-palm-beach,North Flagler,https://wpbnewconstruction.com/projects/alba-palm-beach/,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,10,9,https://wpbnewconstruction.com/projects/alba-palm-beach/docs/floorplans/,https://wpbnewconstruction.com/projects/alba-palm-beach/docs/floorplans/alba-floorplans-19lpha-unbranded--553224c4.pdf,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Alba Reserve,alba-reserve,North Flagler,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/alba-reserve/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Apogee West Palm Beach,apogee-wpb,North Flagler,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/apogee-wpb/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Banyan Tree Residences West Palm Beach,banyan-tree,Downtown,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/banyan-tree/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Edgeworth North Tower,edgeworth-north,South Flagler,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/edgeworth-north/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Edgeworth South Tower,edgeworth-south,South Flagler,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/edgeworth-south/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Fort Partners South Flagler Assemblage,fort-partners-south-flagler,South Flagler,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/fort-partners-south-flagler/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Forté on Flagler,forte-on-flagler,South Flagler,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,5,3,https://wpbnewconstruction.com/projects/forte-on-flagler/docs/floorplans/,https://fortewpb.com/wp-content/uploads/North-Open-Kitchen-Plan.pdf,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
La Clara,la-clara,South Flagler,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/la-clara/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Maison d'Or,maison-dor,South Flagler,Catalog only,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,2,1,https://wpbnewconstruction.com/projects/maison-dor/docs/floorplans/,https://wpbnewconstruction.com/projects/maison-dor/docs/floorplans/maisondor-fact-sheet--f983cc62.pdf,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
"Mandarin Oriental Residences, West Palm Beach",mandarin-oriental,North Flagler,https://wpbnewconstruction.com/projects/mandarin-oriental/,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,0,0,https://wpbnewconstruction.com/projects/mandarin-oriental/docs/floorplans/,,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
Mr. C Hotel & Residences West Palm Beach,mr-c,Downtown,https://wpbnewconstruction.com/projects/mr-c/,authorized,Full project image authorization confirmed by user on 2026-05-18; retain concise source credit and no developer/brand endorsement implication.,64,32,https://wpbnewconstruction.com/projects/mr-c/docs/floorplans/,https://wpbnewconstruction.com/projects/mr-c/docs/floorplans/mrcwpb-res01-floorplan-illustrated-1--85f9b4cc.pdf,brokerage ok; final source/asset facts remain subject to review,wpb-lead-intake,2026-05-18T15:18:33.086Z
